time	V(n002)	I(Rq)
Step Information: C_d=100f  (Run: 1/5)
1.010000000000000e-08	1.462239e+00	1.075523e-06
1.011952122230719e-08	1.423555e+00	1.152891e-06
1.014034385943485e-08	1.386619e+00	1.226763e-06
1.018198913369019e-08	1.321056e+00	1.357888e-06
1.021670945148933e-08	1.272938e+00	1.454124e-06
1.023055936440171e-08	1.256195e+00	1.487610e-06
1.025825919022645e-08	1.226906e+00	1.546189e-06
1.030000000000000e-08	1.186783e+00	1.626433e-06
1.032921856684148e-08	1.164235e+00	1.671531e-06
1.036261121466032e-08	1.144199e+00	1.711601e-06
1.040000000000000e-08	1.129228e+00	1.741544e-06
2.137773684764001e-08	1.203955e+00	1.592089e-06
3.329179934764005e-08	1.273353e+00	1.453295e-06
4.540117434763993e-08	1.333236e+00	1.333528e-06
5.790117434763981e-08	1.385510e+00	1.228980e-06
7.079179934764007e-08	1.430854e+00	1.138292e-06
8.407304934764039e-08	1.469942e+00	1.060115e-06
9.794023684764073e-08	1.503865e+00	9.922703e-07
1.123933618476411e-07	1.533018e+00	9.339639e-07
1.278230493476414e-07	1.558412e+00	8.831769e-07
1.442292993476418e-07	1.580151e+00	8.396987e-07
1.618074243476423e-07	1.598632e+00	8.027354e-07
1.809480493476427e-07	1.614308e+00	7.713841e-07
1.909089868476430e-07	1.620984e+00	7.580318e-07
1.998933618476432e-07	1.626276e+00	7.474488e-07
2.000000000000000e-07	1.626335e+00	7.473308e-07
Step Information: C_d=300f  (Run: 3/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.663677e+00	6.726452e-07
1.002859375000000e-08	1.642130e+00	7.157402e-07
1.006127280389528e-08	1.584930e+00	8.301397e-07
1.010000000000000e-08	1.518222e+00	9.635565e-07
1.012566226204151e-08	1.478799e+00	1.042402e-06
1.015303534155246e-08	1.440766e+00	1.118467e-06
1.020778150057437e-08	1.374548e+00	1.250905e-06
1.030000000000000e-08	1.277295e+00	1.445410e-06
1.032766554982769e-08	1.254962e+00	1.490077e-06
1.036455294959794e-08	1.230569e+00	1.538863e-06
1.040000000000000e-08	1.214567e+00	1.570867e-06
2.781081641753304e-08	1.282666e+00	1.434669e-06
4.558425391753291e-08	1.341620e+00	1.316761e-06
6.374831641753288e-08	1.392534e+00	1.214932e-06
8.249831641753333e-08	1.436746e+00	1.126507e-06
1.020295664175338e-07	1.475242e+00	1.049516e-06
1.223420664175343e-07	1.508463e+00	9.830746e-07
1.436311289175348e-07	1.537118e+00	9.257641e-07
1.660920664175354e-07	1.561751e+00	8.764974e-07
1.899201914175359e-07	1.582793e+00	8.344139e-07
1.918733164175360e-07	1.584318e+00	8.313632e-07
1.998811289175362e-07	1.590288e+00	8.194233e-07
2.000000000000000e-07	1.590374e+00	8.192526e-07
Step Information: C_d=400f  (Run: 4/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.664425e+00	6.711500e-07
1.002859375000000e-08	1.647767e+00	7.044662e-07
1.006187500000000e-08	1.603544e+00	7.929119e-07
1.010000000000000e-08	1.550229e+00	8.995412e-07
1.012668750000000e-08	1.516769e+00	9.664626e-07
1.015718750000000e-08	1.481544e+00	1.036913e-06
1.021818750000000e-08	1.418321e+00	1.163358e-06
1.030000000000000e-08	1.341923e+00	1.316155e-06
1.032454375000000e-08	1.322890e+00	1.354219e-06
1.035726875000000e-08	1.302116e+00	1.395769e-06
1.040000000000000e-08	1.283503e+00	1.432995e-06
3.371608187500007e-08	1.342301e+00	1.315398e-06
5.754420687499984e-08	1.393085e+00	1.213830e-06
8.215358187500037e-08	1.437208e+00	1.125583e-06
1.075442068750010e-07	1.475293e+00	1.049414e-06
1.341067068750016e-07	1.508394e+00	9.832110e-07
1.618410818750023e-07	1.536870e+00	9.262608e-07
1.911379568750030e-07	1.561412e+00	8.771756e-07
1.927004568750030e-07	1.562582e+00	8.748351e-07
1.999270193750032e-07	1.567828e+00	8.643434e-07
2.000000000000000e-07	1.567880e+00	8.642401e-07
Step Information: C_d=500f  (Run: 5/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.664890e+00	6.702196e-07
1.002859375000000e-08	1.651324e+00	6.973528e-07
1.006187500000000e-08	1.615051e+00	7.698980e-07
1.010000000000000e-08	1.570946e+00	8.581084e-07
1.015718750000000e-08	1.512447e+00	9.751070e-07
1.021818750000000e-08	1.457088e+00	1.085824e-06
1.030000000000000e-08	1.388828e+00	1.222344e-06
1.032454375000000e-08	1.371186e+00	1.257628e-06
1.035726875000000e-08	1.351752e+00	1.296495e-06
1.040000000000000e-08	1.334229e+00	1.331543e-06
3.977076937500001e-08	1.386064e+00	1.227873e-06
7.004420687500008e-08	1.431053e+00	1.137894e-06
1.012942068750008e-07	1.469947e+00	1.060106e-06
1.339113943750016e-07	1.503719e+00	9.925629e-07
1.678957693750024e-07	1.532761e+00	9.344789e-07
1.927004568750030e-07	1.550639e+00	8.987217e-07
1.999270193750032e-07	1.555385e+00	8.892308e-07
2.000000000000000e-07	1.555431e+00	8.891369e-07
