time	V(n002)	I(Rq)
Step Information: C_d=20f  (Run: 1/5)
1.022170846480896e-08	1.030379e+00	1.939242e-06
1.030000000000000e-08	1.006177e+00	1.987645e-06
1.030782915351910e-08	1.005713e+00	1.988575e-06
1.032348746055731e-08	1.004928e+00	1.990145e-06
1.035480407463373e-08	1.004033e+00	1.991933e-06
1.040000000000000e-08	1.003781e+00	1.992437e-06
1.263785932980749e-08	1.073942e+00	1.852115e-06
1.517692182980749e-08	1.144615e+00	1.710770e-06
1.810660932980751e-08	1.215759e+00	1.568483e-06
2.142692182980753e-08	1.284746e+00	1.430508e-06
2.494254682980756e-08	1.346329e+00	1.307343e-06
2.845817182980759e-08	1.397987e+00	1.204026e-06
3.216910932980757e-08	1.443512e+00	1.112976e-06
3.607535932980753e-08	1.483132e+00	1.033735e-06
4.017692182980749e-08	1.517194e+00	9.656123e-07
4.447379682980745e-08	1.546126e+00	9.077474e-07
4.916129682980741e-08	1.571350e+00	8.572991e-07
5.423942182980736e-08	1.592767e+00	8.144653e-07
5.990348432980731e-08	1.611043e+00	7.779141e-07
6.634879682980747e-08	1.626424e+00	7.471523e-07
7.377067182980765e-08	1.638965e+00	7.220692e-07
8.255973432980786e-08	1.648893e+00	7.022148e-07
9.369254682980813e-08	1.656573e+00	6.868547e-07
1.087316093298085e-07	1.662024e+00	6.759521e-07
1.329503593298091e-07	1.665439e+00	6.691226e-07
1.921300468298105e-07	1.666813e+00	6.663735e-07
1.999425468298107e-07	1.666838e+00	6.663249e-07
2.000000000000000e-07	1.666838e+00	6.663245e-07
Step Information: C_d=60f  (Run: 3/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
1.000953125000000e-08	1.655071e+00	6.898572e-07
1.002859375000000e-08	1.581747e+00	8.365069e-07
1.004942338964516e-08	1.466540e+00	1.066920e-06
1.006941895957423e-08	1.360201e+00	1.279597e-06
1.008013929133437e-08	1.312560e+00	1.374879e-06
1.009119897531692e-08	1.272947e+00	1.454107e-06
1.010000000000000e-08	1.244121e+00	1.511758e-06
1.010616071727815e-08	1.226367e+00	1.547266e-06
1.011320153702462e-08	1.207990e+00	1.584020e-06
1.012728317651754e-08	1.176456e+00	1.647088e-06
1.015544645550340e-08	1.129124e+00	1.741752e-06
1.021177301347510e-08	1.070784e+00	1.858432e-06
1.030000000000000e-08	1.018605e+00	1.962790e-06
1.030882269865249e-08	1.017007e+00	1.965985e-06
1.032646809595747e-08	1.014246e+00	1.971509e-06
1.036175889056743e-08	1.010441e+00	1.979117e-06
1.040000000000000e-08	1.008281e+00	1.983437e-06
1.357060648942519e-08	1.082082e+00	1.835837e-06
1.708623148942521e-08	1.154292e+00	1.691416e-06
2.118779398942524e-08	1.227348e+00	1.545305e-06
2.567998148942527e-08	1.295470e+00	1.409060e-06
3.017216898942530e-08	1.353035e+00	1.293931e-06
3.485966898942526e-08	1.403612e+00	1.192775e-06
3.974248148942521e-08	1.447650e+00	1.104699e-06
4.482060648942516e-08	1.485654e+00	1.028692e-06
5.009404398942511e-08	1.518163e+00	9.636740e-07
5.575810648942506e-08	1.546615e+00	9.067703e-07
6.181279398942508e-08	1.571038e+00	8.579246e-07
6.825810648942523e-08	1.591612e+00	8.167768e-07
7.548466898942541e-08	1.609476e+00	7.810485e-07
8.349248148942560e-08	1.624364e+00	7.512713e-07
9.267216898942583e-08	1.636746e+00	7.265086e-07
1.034143564894261e-07	1.646738e+00	7.065247e-07
1.165002939894264e-07	1.654551e+00	6.908990e-07
1.334924814894268e-07	1.660363e+00	6.792736e-07
1.582971689894274e-07	1.664314e+00	6.713728e-07
1.911096689894282e-07	1.666136e+00	6.677282e-07
1.998987314894284e-07	1.666347e+00	6.673056e-07
2.000000000000000e-07	1.666349e+00	6.673015e-07
Step Information: C_d=80f  (Run: 4/5)
0.000000000000000e+00	1.666888e+00	6.662229e-07
1.000000000000000e-08	1.666888e+00	6.662229e-07
